"mensal","cota","afluencia","defluencia","vazao_vertida","vazao_turbinada","vazao_natural"
"2018-07",219.255806451613,7773.58129032258,7938.25806451613,0,7938.25806451613,6049.01580645161
"2018-08",218.529032258065,9183.27096774194,9439.48387096774,0,9439.48387096774,6248.59580645161
"2018-09",218.837333333333,8708.86,8309.2,0,8309.2,6681.44
"2018-10",219.419032258065,11939.8825806452,11517.9032258065,39.6774193548387,11478.2258064516,10915.8319354839
"2018-11",219.398666666667,11791.1023333333,12790.1,6.73333333333333,12783.3666666667,12313.8133333333
"2018-12",217.488387096774,9884.99903225807,10531.1935483871,0,10531.1935483871,11794.4351612903
"2019-01",217.013225806452,10391.5606451613,10417.3225806452,0,10417.3225806452,10494.47
"2019-02",216.582142857143,9186.73928571429,9071.92857142857,0,9071.92857142857,9752.01
"2019-03",217.667741935484,10263.1993548387,9571.38709677419,0,9571.38709677419,16132.9022580645
"2019-04",217.632,8614.31933333333,9065.43333333333,0.266666666666667,9065.16666666667,12072.9853333333
"2019-05",218.190967741935,8440.66806451613,7568.67741935484,0,7568.67741935484,10145.315483871
"2019-06",220.232333333333,8775.47766666667,8270.76666666667,861.5,7409.26666666667,9924.59633333333
"2019-07",220.02064516129,7320.02774193548,7789.67741935484,0,7797.8064516129,7000.27741935484
"2019-08",219.315483870968,7408.46096774194,7418.54838709677,0,7418.54838709677,5522.61870967742
"2019-09",219.353666666667,8529.14466666667,8544.43333333333,0,8544.43333333333,4917.68766666667
"2019-10",218.963548387097,8033.09677419355,8451.64516129032,0,8451.64516129032,4412.68225806452
"2019-11",217.567666666667,7346.90766666667,8254.3,0,8254.3,5302.96166666667
"2019-12",217.884516129032,10047.2180645161,8748.77419354839,0,8748.77419354839,11417.4083870968
"2020-01",219.404193548387,9875.18580645161,10353.064516129,0,10353.064516129,10963.0235483871
"2020-02",217.781379310345,9479.32103448276,9969.75862068966,0,9969.75862068966,15717.714137931
"2020-03",216.986774193548,8302.68451612903,8603.48387096774,0,8603.48387096774,14382.6212903226
"2020-04",218.010333333333,7365.50166666667,6359.53333333333,0,6359.53333333333,9381.56733333333
"2020-05",218.882903225806,6899.2435483871,7331.58064516129,219.483870967742,7112.09677419355,7309.27516129032
"2020-06",218.128666666667,6967.62833333333,6972.93333333333,0,6972.93333333333,6911.98066666667
"2020-07",218.075483870968,6986.03387096774,7040.93548387097,0,7040.93548387097,6354.85677419355
"2020-08",217.891935483871,8184.14290322581,8037,0,8037,6402.86258064516
"2020-09",217.515,7808.49166666667,8362.03333333333,0,8362.03333333333,4628.674
"2020-10",217.137096774194,8509.97129032258,8360.16129032258,0,8360.16129032258,3835.96290322581
"2020-11",217.14,7813.35166666667,8026.7,0,8026.7,4966.91733333333
"2020-12",216.617096774194,7599.96,7539.22580645161,0,7539.22580645161,7053.42516129032
"2021-01",217.676451612903,9232.8264516129,8292.54838709677,0,8292.54838709677,12712.7574193548
"2021-02",219.271071428571,9935.65214285714,10245.3214285714,0,10245.3214285714,11852.2928571429
"2021-03",218.604516129032,7688.88129032258,7726.51612903226,0,7726.51612903226,11016.8312903226
"2021-04",218.506,6238.021,6131.46666666667,0,6131.46666666667,6399.11433333333
"2021-05",218.479032258065,5845.75935483871,6270.67741935484,0,6270.67741935484,4973.46193548387
"2021-06",218.33,5713.71266666667,5186.26666666667,0,5186.26666666667,5382.42166666667
"2021-07",218.75064516129,4688.53064516129,4745.41935483871,0,4745.41935483871,4452.52322580645
"2021-08",218.277419354839,4973.71387096774,5230.61290322581,0,5230.61290322581,4015.62677419355
"2021-09",217.726666666667,6982.994,7040,0,7040,3845.47333333333
"2021-10",218.766129032258,8773.11193548387,8052.12903225806,15.0322580645161,8037.09677419355,8459.46225806452
"2021-11",218.663666666667,7132.70033333333,7647.23333333333,0,7647.23333333333,7886.03533333333
"2021-12",217.730967741935,6266.76096774194,6546.74193548387,0,6546.74193548387,7731.06677419355
"2022-01",217.708181818182,5589.51181818182,5500.18181818182,0,5500.18181818182,9019.38454545455
